指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0036,=12205.5500,=-0.0452,=5.8008,=0.7656,=3.2016,=4.0487,=5.1636,=5.8836,=7.9938,=0.5488,=0.4220,=0.3790,=0.4551,=0.5670,=0.7167,=1.0569,=2.2106,=0.8512,=1.0856,=1.4278,=1.7357,=2.0771,=2.9053,,=0.0932,,=0.0547,=76
="H11146",港股通内地金融,2010-06-02,=-0.0047,=1079.0900,=-0.0196,=6.1673,=0.5622,=3.2759,=4.5177,=5.8662,=6.7500,=9.2347,=0.6272,=0.4037,=0.3797,=0.4938,=0.6823,=0.8774,=1.1859,=1.5941,=0.8062,=0.6692,=0.9478,=1.2632,=1.5863,=2.1885,,=0.0962,,=0.0481,=30
="399986",中证银行,2013-07-15,=0.0089,=7194.9300,=-0.0537,=6.7246,=0.7659,=4.1183,=5.2599,=6.2162,=6.8066,=9.0846,=0.6597,=0.3397,=0.4848,=0.5836,=0.7254,=0.9071,=1.2416,=2.5629,=0.8570,=1.4134,=1.7842,=2.1168,=2.4434,=3.3016,=0.0685,=0.0932,=0.0729,=0.0462,=9418
="930792",HK银行,2016-04-22,=-0.0094,=4408.1700,=0.0008,=6.7517,=0.8043,=3.2659,=4.4504,=5.7807,=6.7308,=9.5632,=0.6377,=0.5281,=0.3905,=0.4958,=0.6231,=0.8034,=1.0771,=2.5408,=0.8913,=1.0519,=1.5148,=1.8304,=2.3196,=3.1066,,=0.0964,,=0.0519,=736
="H30106",H300金融服务,2013-05-21,=-0.0074,=1538.7900,=0.0169,=7.0966,=0.5533,=4.0175,=5.3642,=6.8941,=7.7688,=11.1922,=0.7551,=0.5111,=0.4470,=0.5777,=0.7482,=0.9083,=1.2489,=2.0010,=0.8816,=0.8557,=1.1816,=1.4538,=1.8406,=2.3593,,=0.1014,,=0.0460,=16
="399809",保险主题,2015-02-13,=0.0054,=2509.6900,=-0.0593,=7.2332,=0.2807,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8142,=0.3021,=0.6352,=0.7667,=1.2295,=1.4858,=1.9794,=2.1260,=0.9312,=0.5239,=0.8688,=1.0978,=1.3721,=2.3772,=0.0826,=0.1040,=0.0824,=0.0401,=1460
="000018",180金融,2007-12-10,=0.0073,=5506.3400,=-0.0731,=7.2868,=0.4225,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7769,=0.3050,=0.5902,=0.6965,=0.8937,=1.0744,=1.4199,=2.2089,=0.8149,=1.2355,=1.5824,=1.9253,=2.1863,=2.8772,=0.0783,=0.0973,=0.0761,=0.0402,=763
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0122,=4446.4400,=0.1059,=7.4015,=0.9737,=4.1647,=4.6080,=5.5484,=6.8247,=7.6037,=0.7035,=0.9591,=0.4381,=0.4915,=0.5805,=0.6706,=0.7227,=0.9924,=0.9737,=0.5323,=0.5912,=0.7254,=0.9081,=1.0190,,=0.0980,,=0.0548,=196
="000818",细分金融,2012-04-11,=0.0066,=6867.1300,=-0.0700,=7.4181,=0.4167,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7904,=0.2988,=0.5930,=0.7010,=0.9104,=1.1003,=1.4303,=2.2649,=0.8170,=1.2689,=1.6354,=1.9718,=2.2418,=2.9111,=0.0780,=0.0969,=0.0769,=0.0393,=6
="931233",港股通央企红利,2017-06-28,=0.0132,=1262.3603,=0.0828,=7.4190,=0.8023,=3.6988,=4.9350,=6.2778,=7.4172,=14.0775,=0.7117,=0.6584,=0.3929,=0.5213,=0.6404,=0.8683,=1.8161,=1.0217,=0.5876,=0.4645,=0.6185,=0.9344,=1.3960,=1.7583,,=0.0974,,=0.0550,=388
="987016",港股通红利低波,2021-11-18,,,=0.1223,=7.5992,=0.9885,=3.4544,=4.2814,=4.8493,=6.2559,=7.7483,=0.7080,=0.9837,=0.4152,=0.4834,=0.5350,=0.6264,=0.7226,=1.2471,=0.9856,=0.5827,=0.6570,=0.7844,=0.9717,=1.2728,,=0.0953,,=0.0551,=96
="H11140",香港红利,2009-07-23,=0.0111,=3951.8100,=0.0823,=7.6547,=0.7723,=3.0693,=4.4554,=5.9842,=8.4154,=13.9623,=0.7345,=0.6365,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2342,=0.7103,=0.5431,=0.7464,=0.9724,=1.5749,=2.1349,,=0.0974,,=0.0555,=21
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0035,=3003.0200,=0.0792,=7.6556,=0.9832,=3.7550,=5.0362,=5.7657,=6.6245,=7.8951,=0.7796,=0.9614,=0.4590,=0.5769,=0.6368,=0.7247,=0.8175,=1.1749,=0.9826,=0.5101,=0.6868,=0.7898,=0.8944,=1.2116,,=0.1004,,=0.0522,=259
="000914",300金融,2007-07-02,=0.0066,=6257.5600,=-0.0685,=7.6947,=0.4580,=5.2769,=6.6022,=7.8155,=8.6017,=11.3863,=0.7869,=0.2931,=0.5962,=0.7048,=0.9347,=1.1394,=1.4919,=2.1168,=0.8368,=1.1210,=1.4310,=1.8123,=2.0644,=2.7052,=0.0748,=0.0919,=0.0740,=0.0389,=338
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0102,=4865.4300,=0.0889,=7.8097,=0.8845,=3.5572,=4.6252,=5.9371,=7.0920,=9.5068,=0.7126,=0.7176,=0.3828,=0.4841,=0.5743,=0.8190,=1.1073,=0.9487,=0.5906,=0.4386,=0.6476,=0.8387,=1.4262,=2.0623,,=0.0887,,=0.0559,=1373
="H30270",红利价值,2013-12-19,=0.0137,=9891.1800,=0.0376,=7.9524,=0.7709,=4.4543,=5.4181,=6.7212,=8.7984,=13.0955,=0.8287,=0.6520,=0.5256,=0.6474,=0.7574,=1.2608,=1.7317,=1.6041,=0.9960,=0.5854,=0.8077,=0.9927,=1.2498,=1.6240,=0.0710,=0.0975,=0.0748,=0.0430,=155
="000934",中证金融,2009-07-03,=0.0063,=5877.7600,=-0.0624,=8.0028,=0.4819,=5.7083,=6.8944,=8.0594,=8.8714,=11.5527,=0.7995,=0.2918,=0.6117,=0.7181,=0.9398,=1.1557,=1.5017,=2.1102,=0.8397,=1.1467,=1.4503,=1.8024,=2.0549,=2.6696,=0.0732,=0.0889,=0.0723,=0.0377,=1144
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0125,=1417.8100,=0.1116,=8.0317,=0.8549,=3.6777,=4.8612,=6.6082,=7.7122,=10.6953,=0.7500,=0.6270,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1808,=0.6380,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,=0.0935,,=0.0550,=896
="930914",港股通高股息,2016-11-25,=0.0110,=5389.9500,=0.0960,=8.0698,=0.8440,=3.4280,=4.4084,=5.8461,=7.7139,=11.1979,=0.7762,=0.7339,=0.3979,=0.5002,=0.6087,=0.8559,=1.1764,=1.2731,=0.8209,=0.5144,=0.6945,=0.9172,=1.2297,=2.2126,,=0.1000,,=0.0549,=638
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0125,=2805.1100,=0.1321,=8.0821,=0.9898,=3.8979,=4.9406,=5.8124,=7.0954,=8.2464,=0.7282,=0.9310,=0.4277,=0.5151,=0.5730,=0.6679,=0.8197,=1.2623,=0.9668,=0.5333,=0.6944,=0.8644,=1.1064,=1.3442,,=0.0916,,=0.0533,=463
="931157",SHS红利成长LV,2019-04-25,=0.0037,=7674.5500,=0.0295,=8.1154,=0.7335,=4.1261,=5.5606,=6.8583,=8.3550,=11.5318,=0.8287,=0.5893,=0.5154,=0.6234,=0.8055,=0.9315,=1.5888,=1.6020,=0.9879,=0.5018,=0.7025,=1.0145,=1.3691,=1.6333,,=0.0965,,=0.0488,=279
="931024",港股通非银,2017-11-06,=-0.0025,=4266.5300,=-0.0063,=8.1190,=0.0991,=6.7549,=8.7887,=11.3958,=13.3945,=22.4310,=1.1557,=0.6501,=0.6237,=0.8450,=1.0432,=1.2272,=1.7592,=1.3721,=0.9028,=0.5870,=0.8712,=1.0051,=1.1950,=2.2002,,=0.1136,,=0.0318,=171
