指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="931039",银行AH,2017-12-06,=-0.0060,=12002.6904,=-0.0607,=5.6550,=0.6800,=3.2016,=4.0862,=5.2337,=5.9014,=7.9938,=0.5352,=0.3678,=0.3790,=0.4576,=0.5652,=0.7121,=1.0569,=2.1226,=0.7897,=1.0856,=1.4345,=1.7506,=2.1379,=2.9053,=0.0516,=0.3701,=0.0324,=0.0492,=0.0546,=0.0738,=0.0997,,=0.0881,,=101
="H11146",港股通内地金融,2010-06-02,=0.0038,=1078.9484,=-0.0187,=5.8370,=0.4694,=3.2759,=4.5177,=6.0264,=6.7500,=9.2347,=0.5926,=0.3806,=0.3797,=0.4938,=0.6636,=0.8765,=1.1859,=1.5120,=0.7211,=0.6692,=0.9478,=1.3124,=1.5984,=2.1885,=0.0494,=0.4852,=0.0302,=0.0445,=0.0502,=0.0726,=0.0994,,=0.0970,,=41
="932584",智选港股通红利低波,2026-06-11,,,,=5.9069,=0.7391,=5.4952,=5.6374,=5.7917,=5.9203,=6.2685,=0.6034,=0.7391,=0.5613,=0.5758,=0.5916,=0.6047,=0.6403,=0.9075,=0.7391,=0.8443,=0.8661,=0.8898,=0.9096,=0.9631,=0.0577,=0.3043,=0.0544,=0.0568,=0.0586,=0.0600,=0.0621,,,,=10
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0037,=3926.7900,=-0.0234,=6.4790,=0.6641,=4.1647,=4.6493,=5.6893,=6.9483,=7.8218,=0.6011,=0.5352,=0.4381,=0.4957,=0.5924,=0.6846,=0.7455,=1.0157,=0.9740,=0.5323,=0.5969,=0.7477,=0.9452,=1.0875,=0.0549,=0.1250,=0.0487,=0.0570,=0.0694,=0.0865,=0.0936,,=0.0921,,=251
="930792",HK银行,2016-04-22,=0.0064,=4807.5641,=0.0923,=6.6023,=0.7519,=3.2659,=4.4645,=5.8936,=6.7890,=9.5632,=0.6432,=0.5428,=0.3905,=0.4964,=0.6240,=0.8010,=1.0771,=2.5142,=0.8522,=1.0519,=1.5167,=1.8756,=2.4096,=3.1066,=0.0478,=0.1249,=0.0355,=0.0501,=0.0563,=0.0743,=0.1045,,=0.0901,,=751
="399986",中证银行,2013-07-15,=-0.0116,=7006.4600,=-0.0785,=6.7198,=0.7358,=4.1183,=5.2599,=6.2979,=6.8536,=9.0846,=0.6456,=0.3116,=0.4848,=0.5836,=0.7154,=0.8962,=1.2416,=2.5225,=0.8034,=1.4134,=1.7842,=2.1573,=2.5142,=3.3016,=0.0438,=0.3673,=0.0285,=0.0411,=0.0460,=0.0572,=0.0756,=0.0226,=0.0881,=0.0236,=9599
="H30106",H300金融服务,2013-05-21,=0.0046,=1560.0599,=0.0320,=6.7855,=0.4556,=4.0175,=5.3642,=6.9725,=7.7688,=11.1922,=0.7270,=0.4653,=0.4470,=0.5777,=0.7403,=0.9083,=1.2489,=1.9377,=0.8289,=0.8557,=1.1816,=1.4709,=1.8954,=2.3593,=0.0458,=0.4118,=0.0288,=0.0433,=0.0472,=0.0664,=0.0918,,=0.1014,,=19
="931233",港股通央企红利,2017-06-28,=0.0002,=1110.3693,=-0.0466,=6.9346,=0.6259,=3.6988,=4.9633,=6.3695,=7.4439,=14.0775,=0.6523,=0.5222,=0.3929,=0.5227,=0.6449,=0.8598,=1.8161,=0.9415,=0.4955,=0.4645,=0.6243,=0.9461,=1.3892,=1.7583,=0.0539,=0.3149,=0.0394,=0.0519,=0.0571,=0.0798,=0.1038,,=0.0906,,=464
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0050,=2840.5900,=0.0208,=7.0649,=0.8475,=3.7550,=5.0509,=5.8322,=6.8229,=7.9027,=0.7087,=0.7447,=0.4590,=0.5790,=0.6415,=0.7390,=0.8175,=1.0750,=0.8717,=0.5101,=0.6884,=0.7989,=0.9199,=1.2126,=0.0529,=0.1548,=0.0478,=0.0537,=0.0621,=0.0791,=0.1052,,=0.0995,,=280
="H11140",香港红利,2009-07-23,=0.0023,=3738.3960,=0.0244,=7.0986,=0.7087,=3.0693,=4.4554,=5.9842,=7.8212,=13.9623,=0.6701,=0.5377,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.1293,=0.6321,=0.5431,=0.7464,=0.9724,=1.3601,=2.1349,=0.0554,=0.1848,=0.0382,=0.0561,=0.0634,=0.0876,=0.1281,,=0.0912,,=47
="987016",港股通红利低波,2021-11-18,,,=0.0336,=7.1805,=0.8773,=3.4544,=4.3069,=4.9682,=6.8399,=8.0054,=0.6883,=0.8711,=0.4152,=0.4883,=0.5404,=0.6638,=0.7529,=1.0652,=0.7749,=0.5827,=0.6607,=0.7976,=1.1066,=1.3012,=0.0559,=0.0953,=0.0488,=0.0591,=0.0818,=0.0924,=0.1160,,=0.0893,,=165
