指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0022,=12764.5600,=0.0943,=5.8954,=0.8153,=3.2016,=4.0315,=5.1276,=5.8514,=7.9938,=0.5560,=0.4470,=0.3790,=0.4534,=0.5714,=0.7189,=1.0569,=2.2466,=0.8865,=1.0856,=1.4237,=1.7224,=2.0365,=2.9053,,=0.0932,,=0.0519,=61
="H11146",港股通内地金融,2010-06-02,=0.0046,=1094.5200,=0.2832,=6.3152,=0.6364,=3.2759,=4.5181,=5.7827,=6.7473,=9.2347,=0.6422,=0.4186,=0.3797,=0.4941,=0.6904,=0.8800,=1.1859,=1.6323,=0.8555,=0.6692,=0.9479,=1.2460,=1.5586,=2.1885,,=0.0965,,=0.0453,=25
="930792",HK银行,2016-04-22,=0.0034,=4316.7800,=0.3230,=6.8700,=0.8377,=3.2659,=4.4405,=5.7510,=6.6322,=9.5632,=0.6363,=0.5354,=0.3905,=0.4942,=0.6163,=0.8060,=1.0771,=2.5570,=0.9229,=1.0519,=1.5124,=1.8170,=2.2797,=3.1066,,=0.0966,,=0.0495,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0033,=4017.4500,=0.2466,=6.9733,=0.9335,=4.1647,=4.5787,=5.4503,=6.5858,=7.6037,=0.6628,=0.8180,=0.4381,=0.4886,=0.5761,=0.6584,=0.7227,=0.9345,=0.9415,=0.5323,=0.5874,=0.7181,=0.8805,=1.0190,,=0.1030,,=0.0582,=157
="931233",港股通央企红利,2017-06-28,=0.0017,=1168.0400,=0.1821,=7.0794,=0.7118,=3.6988,=4.9297,=6.2284,=7.4146,=14.0775,=0.6792,=0.6012,=0.3929,=0.5204,=0.6338,=0.8725,=1.8161,=0.9745,=0.5608,=0.4645,=0.6146,=0.9209,=1.4033,=1.7583,,=0.0974,,=0.0562,=301
="987016",港股通红利低波,2021-11-18,=0.0006,=1493.1790,=0.2101,=7.0979,=0.9677,=3.4544,=4.2659,=4.7537,=5.7939,=7.7483,=0.6616,=0.8991,=0.4152,=0.4814,=0.5307,=0.5986,=0.7226,=1.1654,=0.9657,=0.5827,=0.6534,=0.7730,=0.8943,=1.2728,,=0.0954,,=0.0589,=33
="399986",中证银行,2013-07-15,=-0.0045,=7606.2500,=0.0684,=7.1923,=0.8852,=4.1183,=5.2645,=6.1848,=6.7840,=9.0846,=0.7029,=0.4123,=0.4848,=0.5838,=0.7313,=0.9116,=1.2416,=2.7412,=0.9449,=1.4134,=1.7845,=2.1075,=2.4158,=3.3016,=0.0685,=0.0932,=0.0729,=0.0417,=9239
="H30106",H300金融服务,2013-05-21,=0.0059,=1504.3900,=0.3608,=7.2715,=0.6372,=4.0175,=5.3627,=6.7518,=7.7687,=11.1922,=0.7615,=0.5166,=0.4470,=0.5779,=0.7491,=0.9100,=1.2489,=2.0330,=0.9198,=0.8557,=1.1817,=1.4428,=1.7849,=2.3593,,=0.1022,,=0.0438,=17
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0001,=2803.9100,=0.2387,=7.3349,=0.9595,=3.7550,=5.0263,=5.7235,=6.5550,=7.8564,=0.7473,=0.8792,=0.4590,=0.5756,=0.6336,=0.7095,=0.8175,=1.1276,=0.9781,=0.5101,=0.6855,=0.7850,=0.8800,=1.2090,,=0.1015,,=0.0533,=245
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0026,=4505.5100,=0.1996,=7.4413,=0.8619,=3.5572,=4.6186,=5.8983,=6.9910,=9.5068,=0.6600,=0.6285,=0.3828,=0.4838,=0.5688,=0.8224,=1.1073,=0.9934,=0.6195,=0.4386,=0.6400,=0.8309,=1.4432,=2.0623,,=0.0870,,=0.0586,=1218
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0009,=1281.0700,=0.2921,=7.5611,=0.7910,=3.6777,=4.8617,=6.5440,=7.5947,=10.6953,=0.7059,=0.5483,=0.4041,=0.5047,=0.6489,=0.9071,=1.1746,=1.1157,=0.5649,=0.5013,=0.7009,=1.0575,=1.4996,=1.9871,,=0.0974,,=0.0585,=861
